ID,Name,Category,Subcategory,Purpose,Path
27,advanced_algebra_6,math,algebra,Advanced algebra operation 6,math/algebra/advanced_algebra_6.md
28,advanced_algebra_183,math,algebra,Advanced algebra operation 183,math/algebra/advanced_algebra_183.md
29,advanced_algebra_212,math,algebra,Advanced algebra operation 212,math/algebra/advanced_algebra_212.md
30,advanced_algebra_243,math,algebra,Advanced algebra operation 243,math/algebra/advanced_algebra_243.md
31,advanced_algebra_121,math,algebra,Advanced algebra operation 121,math/algebra/advanced_algebra_121.md
32,advanced_algebra_170,math,algebra,Advanced algebra operation 170,math/algebra/advanced_algebra_170.md
33,advanced_algebra_226,math,algebra,Advanced algebra operation 226,math/algebra/advanced_algebra_226.md
34,natural_logarithm,math,algebra,Calculates natural logarithm,math/algebra/natural_logarithm.md
35,advanced_algebra_144,math,algebra,Advanced algebra operation 144,math/algebra/advanced_algebra_144.md
36,advanced_algebra_115,math,algebra,Advanced algebra operation 115,math/algebra/advanced_algebra_115.md
37,advanced_algebra_105,math,algebra,Advanced algebra operation 105,math/algebra/advanced_algebra_105.md
38,advanced_algebra_154,math,algebra,Advanced algebra operation 154,math/algebra/advanced_algebra_154.md
39,advanced_algebra_236,math,algebra,Advanced algebra operation 236,math/algebra/advanced_algebra_236.md
40,binomial_expansion,math,algebra,Expands binomial expression using binomial theorem,math/algebra/binomial_expansion.md
41,advanced_algebra_160,math,algebra,Advanced algebra operation 160,math/algebra/advanced_algebra_160.md
42,advanced_algebra_131,math,algebra,Advanced algebra operation 131,math/algebra/advanced_algebra_131.md
43,advanced_algebra_202,math,algebra,Advanced algebra operation 202,math/algebra/advanced_algebra_202.md
44,advanced_algebra_193,math,algebra,Advanced algebra operation 193,math/algebra/advanced_algebra_193.md
45,advanced_algebra_68,math,algebra,Advanced algebra operation 68,math/algebra/advanced_algebra_68.md
46,advanced_algebra_39,math,algebra,Advanced algebra operation 39,math/algebra/advanced_algebra_39.md
47,advanced_algebra_28,math,algebra,Advanced algebra operation 28,math/algebra/advanced_algebra_28.md
48,solve_cubic_equation,math,algebra,Solves cubic equations using Cardano's formula,math/algebra/solve_cubic_equation.md
49,advanced_algebra_79,math,algebra,Advanced algebra operation 79,math/algebra/advanced_algebra_79.md
50,gauss_jordan,math,algebra,Solves systems using Gauss-Jordan elimination,math/algebra/gauss_jordan.md
51,advanced_algebra_7,math,algebra,Advanced algebra operation 7,math/algebra/advanced_algebra_7.md
52,advanced_algebra_213,math,algebra,Advanced algebra operation 213,math/algebra/advanced_algebra_213.md
53,advanced_algebra_182,math,algebra,Advanced algebra operation 182,math/algebra/advanced_algebra_182.md
54,complete_square,math,algebra,Completes the square for quadratic expression,math/algebra/complete_square.md
55,advanced_algebra_242,math,algebra,Advanced algebra operation 242,math/algebra/advanced_algebra_242.md
56,solve_system_linear,math,algebra,Solves system of linear equations,math/algebra/solve_system_linear.md
57,advanced_algebra_120,math,algebra,Advanced algebra operation 120,math/algebra/advanced_algebra_120.md
58,advanced_algebra_171,math,algebra,Advanced algebra operation 171,math/algebra/advanced_algebra_171.md
59,rationalize_denominator,math,algebra,Removes radicals from denominator,math/algebra/rationalize_denominator.md
60,advanced_algebra_227,math,algebra,Advanced algebra operation 227,math/algebra/advanced_algebra_227.md
61,advanced_algebra_145,math,algebra,Advanced algebra operation 145,math/algebra/advanced_algebra_145.md
62,absolute_value_equation,math,algebra,Solves absolute value equations,math/algebra/absolute_value_equation.md
63,advanced_algebra_114,math,algebra,Advanced algebra operation 114,math/algebra/advanced_algebra_114.md
64,advanced_algebra_104,math,algebra,Advanced algebra operation 104,math/algebra/advanced_algebra_104.md
65,advanced_algebra_155,math,algebra,Advanced algebra operation 155,math/algebra/advanced_algebra_155.md
66,advanced_algebra_237,math,algebra,Advanced algebra operation 237,math/algebra/advanced_algebra_237.md
67,advanced_algebra_161,math,algebra,Advanced algebra operation 161,math/algebra/advanced_algebra_161.md
68,advanced_algebra_130,math,algebra,Advanced algebra operation 130,math/algebra/advanced_algebra_130.md
69,factor_difference_squares,math,algebra,Factors difference of squares,math/algebra/factor_difference_squares.md
70,advanced_algebra_192,math,algebra,Advanced algebra operation 192,math/algebra/advanced_algebra_192.md
71,advanced_algebra_203,math,algebra,Advanced algebra operation 203,math/algebra/advanced_algebra_203.md
72,lcm_polynomials,math,algebra,Least common multiple of polynomials,math/algebra/lcm_polynomials.md
73,advanced_algebra_69,math,algebra,Advanced algebra operation 69,math/algebra/advanced_algebra_69.md
74,piecewise_function_eval,math,algebra,Evaluates piecewise function,math/algebra/piecewise_function_eval.md
75,advanced_algebra_38,math,algebra,Advanced algebra operation 38,math/algebra/advanced_algebra_38.md
76,advanced_algebra_18,math,algebra,Advanced algebra operation 18,math/algebra/advanced_algebra_18.md
77,arithmetic_sequence_sum,math,algebra,Sums arithmetic sequence,math/algebra/arithmetic_sequence_sum.md
78,advanced_algebra_3,math,algebra,Advanced algebra operation 3,math/algebra/advanced_algebra_3.md
79,advanced_algebra_49,math,algebra,Advanced algebra operation 49,math/algebra/advanced_algebra_49.md
80,advanced_algebra_223,math,algebra,Advanced algebra operation 223,math/algebra/advanced_algebra_223.md
81,union_intervals,math,algebra,Finds union of intervals,math/algebra/union_intervals.md
82,exponential_growth,math,algebra,Models exponential growth,math/algebra/exponential_growth.md
83,solve_inequality,math,algebra,Solves algebraic inequalities,math/algebra/solve_inequality.md
84,advanced_algebra_110,math,algebra,Advanced algebra operation 110,math/algebra/advanced_algebra_110.md
85,advanced_algebra_141,math,algebra,Advanced algebra operation 141,math/algebra/advanced_algebra_141.md
86,solve_exponential_equation,math,algebra,Solves exponential equations,math/algebra/solve_exponential_equation.md
87,compound_interest,math,algebra,Calculates compound interest,math/algebra/compound_interest.md
88,advanced_algebra_246,math,algebra,Advanced algebra operation 246,math/algebra/advanced_algebra_246.md
89,advanced_algebra_186,math,algebra,Advanced algebra operation 186,math/algebra/advanced_algebra_186.md
90,advanced_algebra_217,math,algebra,Advanced algebra operation 217,math/algebra/advanced_algebra_217.md
91,advanced_algebra_175,math,algebra,Advanced algebra operation 175,math/algebra/advanced_algebra_175.md
92,advanced_algebra_124,math,algebra,Advanced algebra operation 124,math/algebra/advanced_algebra_124.md
93,advanced_algebra_134,math,algebra,Advanced algebra operation 134,math/algebra/advanced_algebra_134.md
94,advanced_algebra_165,math,algebra,Advanced algebra operation 165,math/algebra/advanced_algebra_165.md
95,advanced_algebra_207,math,algebra,Advanced algebra operation 207,math/algebra/advanced_algebra_207.md
96,advanced_algebra_196,math,algebra,Advanced algebra operation 196,math/algebra/advanced_algebra_196.md
97,advanced_algebra_151,math,algebra,Advanced algebra operation 151,math/algebra/advanced_algebra_151.md
98,common_logarithm,math,algebra,Calculates common logarithm,math/algebra/common_logarithm.md
99,advanced_algebra_100,math,algebra,Advanced algebra operation 100,math/algebra/advanced_algebra_100.md
100,advanced_algebra_233,math,algebra,Advanced algebra operation 233,math/algebra/advanced_algebra_233.md
101,algebraic_fraction_simplify,math,algebra,Simplifies algebraic fractions,math/algebra/algebraic_fraction_simplify.md
102,step_function,math,algebra,Evaluates step function,math/algebra/step_function.md
103,advanced_algebra_59,math,algebra,Advanced algebra operation 59,math/algebra/advanced_algebra_59.md
104,fibonacci_sequence,math,algebra,Generates Fibonacci sequence,math/algebra/fibonacci_sequence.md
105,advanced_algebra_228,math,algebra,Advanced algebra operation 228,math/algebra/advanced_algebra_228.md
106,modulo_operation,math,algebra,Performs modulo operation,math/algebra/modulo_operation.md
107,advanced_algebra_13,math,algebra,Advanced algebra operation 13,math/algebra/advanced_algebra_13.md
108,advanced_algebra_8,math,algebra,Advanced algebra operation 8,math/algebra/advanced_algebra_8.md
109,advanced_algebra_42,math,algebra,Advanced algebra operation 42,math/algebra/advanced_algebra_42.md
110,geometric_sequence_term,math,algebra,Finds nth term of geometric sequence,math/algebra/geometric_sequence_term.md
111,half_life,math,algebra,Calculates half-life decay,math/algebra/half_life.md
112,advanced_algebra_76,math,algebra,Advanced algebra operation 76,math/algebra/advanced_algebra_76.md
113,polynomial_derivative,math,algebra,Computes derivative of polynomial,math/algebra/polynomial_derivative.md
114,advanced_algebra_27,math,algebra,Advanced algebra operation 27,math/algebra/advanced_algebra_27.md
115,advanced_algebra_85,math,algebra,Advanced algebra operation 85,math/algebra/advanced_algebra_85.md
116,advanced_algebra_95,math,algebra,Advanced algebra operation 95,math/algebra/advanced_algebra_95.md
117,advanced_algebra_37,math,algebra,Advanced algebra operation 37,math/algebra/advanced_algebra_37.md
118,advanced_algebra_66,math,algebra,Advanced algebra operation 66,math/algebra/advanced_algebra_66.md
119,divide_algebraic_fractions,math,algebra,Divides algebraic fractions,math/algebra/divide_algebraic_fractions.md
120,advanced_algebra_52,math,algebra,Advanced algebra operation 52,math/algebra/advanced_algebra_52.md
121,sequence_limit,math,algebra,Finds limit of sequence,math/algebra/sequence_limit.md
122,exponential_decay,math,algebra,Models exponential decay,math/algebra/exponential_decay.md
123,advanced_algebra_238,math,algebra,Advanced algebra operation 238,math/algebra/advanced_algebra_238.md
124,advanced_algebra_218,math,algebra,Advanced algebra operation 218,math/algebra/advanced_algebra_218.md
125,advanced_algebra_189,math,algebra,Advanced algebra operation 189,math/algebra/advanced_algebra_189.md
126,advanced_algebra_249,math,algebra,Advanced algebra operation 249,math/algebra/advanced_algebra_249.md
127,quadratic_function,math,algebra,Evaluates quadratic function,math/algebra/quadratic_function.md
128,composite_function,math,algebra,Composes two functions,math/algebra/composite_function.md
129,advanced_algebra_23,math,algebra,Advanced algebra operation 23,math/algebra/advanced_algebra_23.md
130,advanced_algebra_72,math,algebra,Advanced algebra operation 72,math/algebra/advanced_algebra_72.md
131,factor_by_grouping,math,algebra,Factors by grouping method,math/algebra/factor_by_grouping.md
132,logistic_growth,math,algebra,Models logistic growth,math/algebra/logistic_growth.md
133,advanced_algebra_81,math,algebra,Advanced algebra operation 81,math/algebra/advanced_algebra_81.md
134,advanced_algebra_46,math,algebra,Advanced algebra operation 46,math/algebra/advanced_algebra_46.md
135,advanced_algebra_17,math,algebra,Advanced algebra operation 17,math/algebra/advanced_algebra_17.md
136,multiply_algebraic_fractions,math,algebra,Multiplies algebraic fractions,math/algebra/multiply_algebraic_fractions.md
137,advanced_algebra_56,math,algebra,Advanced algebra operation 56,math/algebra/advanced_algebra_56.md
138,advanced_algebra_91,math,algebra,Advanced algebra operation 91,math/algebra/advanced_algebra_91.md
139,advanced_algebra_62,math,algebra,Advanced algebra operation 62,math/algebra/advanced_algebra_62.md
140,advanced_algebra_33,math,algebra,Advanced algebra operation 33,math/algebra/advanced_algebra_33.md
141,advanced_algebra_199,math,algebra,Advanced algebra operation 199,math/algebra/advanced_algebra_199.md
142,advanced_algebra_208,math,algebra,Advanced algebra operation 208,math/algebra/advanced_algebra_208.md
143,recursive_sequence,math,algebra,Computes recursive sequence terms,math/algebra/recursive_sequence.md
144,advanced_algebra_188,math,algebra,Advanced algebra operation 188,math/algebra/advanced_algebra_188.md
145,advanced_algebra_219,math,algebra,Advanced algebra operation 219,math/algebra/advanced_algebra_219.md
146,advanced_algebra_248,math,algebra,Advanced algebra operation 248,math/algebra/advanced_algebra_248.md
147,function_symmetry,math,algebra,"Checks if function is even, odd, or neither",math/algebra/function_symmetry.md
148,add_algebraic_fractions,math,algebra,Adds algebraic fractions,math/algebra/add_algebraic_fractions.md
149,advanced_algebra_22,math,algebra,Advanced algebra operation 22,math/algebra/advanced_algebra_22.md
150,advanced_algebra_73,math,algebra,Advanced algebra operation 73,math/algebra/advanced_algebra_73.md
151,advanced_algebra_80,math,algebra,Advanced algebra operation 80,math/algebra/advanced_algebra_80.md
152,advanced_algebra_47,math,algebra,Advanced algebra operation 47,math/algebra/advanced_algebra_47.md
153,advanced_algebra_16,math,algebra,Advanced algebra operation 16,math/algebra/advanced_algebra_16.md
154,floor_function,math,algebra,Evaluates floor function,math/algebra/floor_function.md
155,solve_linear_equation,math,algebra,Solves linear equations of form ax + b = 0,math/algebra/solve_linear_equation.md
156,vertical_line_test,math,algebra,Tests if relation is a function,math/algebra/vertical_line_test.md
157,advanced_algebra_57,math,algebra,Advanced algebra operation 57,math/algebra/advanced_algebra_57.md
158,binomial_coefficient,math,algebra,Calculates binomial coefficient,math/algebra/binomial_coefficient.md
159,advanced_algebra_90,math,algebra,Advanced algebra operation 90,math/algebra/advanced_algebra_90.md
160,advanced_algebra_63,math,algebra,Advanced algebra operation 63,math/algebra/advanced_algebra_63.md
161,advanced_algebra_32,math,algebra,Advanced algebra operation 32,math/algebra/advanced_algebra_32.md
162,partial_fractions,math,algebra,Decomposes rational expression into partial fractions,math/algebra/partial_fractions.md
163,advanced_algebra_209,math,algebra,Advanced algebra operation 209,math/algebra/advanced_algebra_209.md
164,advanced_algebra_198,math,algebra,Advanced algebra operation 198,math/algebra/advanced_algebra_198.md
165,advanced_algebra_229,math,algebra,Advanced algebra operation 229,math/algebra/advanced_algebra_229.md
166,cramer_rule,math,algebra,Solves systems using Cramer's rule,math/algebra/cramer_rule.md
167,advanced_algebra_12,math,algebra,Advanced algebra operation 12,math/algebra/advanced_algebra_12.md
168,advanced_algebra_9,math,algebra,Advanced algebra operation 9,math/algebra/advanced_algebra_9.md
169,binary_logarithm,math,algebra,Calculates binary logarithm,math/algebra/binary_logarithm.md
170,advanced_algebra_43,math,algebra,Advanced algebra operation 43,math/algebra/advanced_algebra_43.md
171,advanced_algebra_77,math,algebra,Advanced algebra operation 77,math/algebra/advanced_algebra_77.md
172,advanced_algebra_26,math,algebra,Advanced algebra operation 26,math/algebra/advanced_algebra_26.md
173,advanced_algebra_84,math,algebra,Advanced algebra operation 84,math/algebra/advanced_algebra_84.md
174,advanced_algebra_94,math,algebra,Advanced algebra operation 94,math/algebra/advanced_algebra_94.md
175,advanced_algebra_36,math,algebra,Advanced algebra operation 36,math/algebra/advanced_algebra_36.md
176,expand_polynomial,math,algebra,Expands polynomial expressions,math/algebra/expand_polynomial.md
177,advanced_algebra_67,math,algebra,Advanced algebra operation 67,math/algebra/advanced_algebra_67.md
178,advanced_algebra_53,math,algebra,Advanced algebra operation 53,math/algebra/advanced_algebra_53.md
179,advanced_algebra_239,math,algebra,Advanced algebra operation 239,math/algebra/advanced_algebra_239.md
180,conjugate_expression,math,algebra,Finds conjugate of expression,math/algebra/conjugate_expression.md
181,advanced_algebra_178,math,algebra,Advanced algebra operation 178,math/algebra/advanced_algebra_178.md
182,polynomial_integral,math,algebra,Computes integral of polynomial,math/algebra/polynomial_integral.md
183,advanced_algebra_129,math,algebra,Advanced algebra operation 129,math/algebra/advanced_algebra_129.md
184,absolute_value_function,math,algebra,Evaluates absolute value function,math/algebra/absolute_value_function.md
185,advanced_algebra_83,math,algebra,Advanced algebra operation 83,math/algebra/advanced_algebra_83.md
186,advanced_algebra_70,math,algebra,Advanced algebra operation 70,math/algebra/advanced_algebra_70.md
187,standard_form,math,algebra,Converts quadratic to standard form,math/algebra/standard_form.md
188,advanced_algebra_21,math,algebra,Advanced algebra operation 21,math/algebra/advanced_algebra_21.md
189,advanced_algebra_15,math,algebra,Advanced algebra operation 15,math/algebra/advanced_algebra_15.md
190,advanced_algebra_44,math,algebra,Advanced algebra operation 44,math/algebra/advanced_algebra_44.md
191,advanced_algebra_54,math,algebra,Advanced algebra operation 54,math/algebra/advanced_algebra_54.md
192,solve_polynomial,math,algebra,Solves polynomial equations of any degree,math/algebra/solve_polynomial.md
193,advanced_algebra_31,math,algebra,Advanced algebra operation 31,math/algebra/advanced_algebra_31.md
194,advanced_algebra_60,math,algebra,Advanced algebra operation 60,math/algebra/advanced_algebra_60.md
195,cubic_function,math,algebra,Evaluates cubic function,math/algebra/cubic_function.md
196,change_log_base,math,algebra,Changes base of logarithm,math/algebra/change_log_base.md
197,advanced_algebra_93,math,algebra,Advanced algebra operation 93,math/algebra/advanced_algebra_93.md
198,advanced_algebra_139,math,algebra,Advanced algebra operation 139,math/algebra/advanced_algebra_139.md
199,advanced_algebra_168,math,algebra,Advanced algebra operation 168,math/algebra/advanced_algebra_168.md
200,find_discriminant,math,algebra,Calculates discriminant of quadratic equation,math/algebra/find_discriminant.md
201,advanced_algebra_148,math,algebra,Advanced algebra operation 148,math/algebra/advanced_algebra_148.md
202,advanced_algebra_119,math,algebra,Advanced algebra operation 119,math/algebra/advanced_algebra_119.md
203,factor_sum_cubes,math,algebra,Factors sum of cubes,math/algebra/factor_sum_cubes.md
204,add_polynomials,math,algebra,Adds two or more polynomials,math/algebra/add_polynomials.md
205,geometric_sequence_sum,math,algebra,Sums geometric sequence,math/algebra/geometric_sequence_sum.md
206,advanced_algebra_40,math,algebra,Advanced algebra operation 40,math/algebra/advanced_algebra_40.md
207,advanced_algebra_11,math,algebra,Advanced algebra operation 11,math/algebra/advanced_algebra_11.md
208,advanced_algebra_87,math,algebra,Advanced algebra operation 87,math/algebra/advanced_algebra_87.md
209,advanced_algebra_25,math,algebra,Advanced algebra operation 25,math/algebra/advanced_algebra_25.md
210,advanced_algebra_74,math,algebra,Advanced algebra operation 74,math/algebra/advanced_algebra_74.md
211,advanced_algebra_64,math,algebra,Advanced algebra operation 64,math/algebra/advanced_algebra_64.md
212,advanced_algebra_35,math,algebra,Advanced algebra operation 35,math/algebra/advanced_algebra_35.md
213,advanced_algebra_97,math,algebra,Advanced algebra operation 97,math/algebra/advanced_algebra_97.md
214,advanced_algebra_50,math,algebra,Advanced algebra operation 50,math/algebra/advanced_algebra_50.md
215,multiply_polynomials,math,algebra,Multiplies polynomials together,math/algebra/multiply_polynomials.md
216,advanced_algebra_109,math,algebra,Advanced algebra operation 109,math/algebra/advanced_algebra_109.md
217,factor_quadratic_trinomial,math,algebra,Factors quadratic trinomial,math/algebra/factor_quadratic_trinomial.md
218,advanced_algebra_158,math,algebra,Advanced algebra operation 158,math/algebra/advanced_algebra_158.md
219,doubling_time,math,algebra,Calculates doubling time,math/algebra/doubling_time.md
220,advanced_algebra_149,math,algebra,Advanced algebra operation 149,math/algebra/advanced_algebra_149.md
221,advanced_algebra_118,math,algebra,Advanced algebra operation 118,math/algebra/advanced_algebra_118.md
222,solve_absolute_inequality,math,algebra,Solves absolute value inequalities,math/algebra/solve_absolute_inequality.md
223,advanced_algebra_41,math,algebra,Advanced algebra operation 41,math/algebra/advanced_algebra_41.md
224,advanced_algebra_10,math,algebra,Advanced algebra operation 10,math/algebra/advanced_algebra_10.md
225,set_builder_notation,math,algebra,Converts solution to set builder notation,math/algebra/set_builder_notation.md
226,advanced_algebra_86,math,algebra,Advanced algebra operation 86,math/algebra/advanced_algebra_86.md
227,evaluate_polynomial,math,algebra,Evaluates polynomial at given x value,math/algebra/evaluate_polynomial.md
228,advanced_algebra_24,math,algebra,Advanced algebra operation 24,math/algebra/advanced_algebra_24.md
229,advanced_algebra_75,math,algebra,Advanced algebra operation 75,math/algebra/advanced_algebra_75.md
230,advanced_algebra_65,math,algebra,Advanced algebra operation 65,math/algebra/advanced_algebra_65.md
231,advanced_algebra_34,math,algebra,Advanced algebra operation 34,math/algebra/advanced_algebra_34.md
232,advanced_algebra_96,math,algebra,Advanced algebra operation 96,math/algebra/advanced_algebra_96.md
233,power_function,math,algebra,Evaluates power function,math/algebra/power_function.md
234,arithmetic_sequence_term,math,algebra,Finds nth term of arithmetic sequence,math/algebra/arithmetic_sequence_term.md
235,advanced_algebra_51,math,algebra,Advanced algebra operation 51,math/algebra/advanced_algebra_51.md
236,synthetic_division,math,algebra,Performs synthetic division on polynomials,math/algebra/synthetic_division.md
237,advanced_algebra_108,math,algebra,Advanced algebra operation 108,math/algebra/advanced_algebra_108.md
238,advanced_algebra_159,math,algebra,Advanced algebra operation 159,math/algebra/advanced_algebra_159.md
239,exponentiation,math,algebra,Raises number to power,math/algebra/exponentiation.md
240,nth_root,math,algebra,Calculates nth root,math/algebra/nth_root.md
241,advanced_algebra_179,math,algebra,Advanced algebra operation 179,math/algebra/advanced_algebra_179.md
242,advanced_algebra_128,math,algebra,Advanced algebra operation 128,math/algebra/advanced_algebra_128.md
243,advanced_algebra_82,math,algebra,Advanced algebra operation 82,math/algebra/advanced_algebra_82.md
244,range_function,math,algebra,Determines range of function,math/algebra/range_function.md
245,advanced_algebra_71,math,algebra,Advanced algebra operation 71,math/algebra/advanced_algebra_71.md
246,advanced_algebra_20,math,algebra,Advanced algebra operation 20,math/algebra/advanced_algebra_20.md
247,vertex_form,math,algebra,Converts quadratic to vertex form,math/algebra/vertex_form.md
248,advanced_algebra_14,math,algebra,Advanced algebra operation 14,math/algebra/advanced_algebra_14.md
249,advanced_algebra_45,math,algebra,Advanced algebra operation 45,math/algebra/advanced_algebra_45.md
250,advanced_algebra_55,math,algebra,Advanced algebra operation 55,math/algebra/advanced_algebra_55.md
251,advanced_algebra_30,math,algebra,Advanced algebra operation 30,math/algebra/advanced_algebra_30.md
252,advanced_algebra_61,math,algebra,Advanced algebra operation 61,math/algebra/advanced_algebra_61.md
253,advanced_algebra_92,math,algebra,Advanced algebra operation 92,math/algebra/advanced_algebra_92.md
254,advanced_algebra_138,math,algebra,Advanced algebra operation 138,math/algebra/advanced_algebra_138.md
255,advanced_algebra_169,math,algebra,Advanced algebra operation 169,math/algebra/advanced_algebra_169.md
256,advanced_algebra_89,math,algebra,Advanced algebra operation 89,math/algebra/advanced_algebra_89.md
257,advanced_algebra_4,math,algebra,Advanced algebra operation 4,math/algebra/advanced_algebra_4.md
258,solve_quadratic_equation,math,algebra,Solves quadratic equations using quadratic formula,math/algebra/solve_quadratic_equation.md
259,advanced_algebra_172,math,algebra,Advanced algebra operation 172,math/algebra/advanced_algebra_172.md
260,advanced_algebra_123,math,algebra,Advanced algebra operation 123,math/algebra/advanced_algebra_123.md
261,advanced_algebra_241,math,algebra,Advanced algebra operation 241,math/algebra/advanced_algebra_241.md
262,advanced_algebra_181,math,algebra,Advanced algebra operation 181,math/algebra/advanced_algebra_181.md
263,advanced_algebra_210,math,algebra,Advanced algebra operation 210,math/algebra/advanced_algebra_210.md
264,advanced_algebra_117,math,algebra,Advanced algebra operation 117,math/algebra/advanced_algebra_117.md
265,advanced_algebra_146,math,algebra,Advanced algebra operation 146,math/algebra/advanced_algebra_146.md
266,advanced_algebra_224,math,algebra,Advanced algebra operation 224,math/algebra/advanced_algebra_224.md
267,interval_notation,math,algebra,Converts solution to interval notation,math/algebra/interval_notation.md
268,advanced_algebra_234,math,algebra,Advanced algebra operation 234,math/algebra/advanced_algebra_234.md
269,continuous_compound_interest,math,algebra,Calculates continuous compounding,math/algebra/continuous_compound_interest.md
270,advanced_algebra_156,math,algebra,Advanced algebra operation 156,math/algebra/advanced_algebra_156.md
271,polynomial_division,math,algebra,Divides one polynomial by another,math/algebra/polynomial_division.md
272,advanced_algebra_107,math,algebra,Advanced algebra operation 107,math/algebra/advanced_algebra_107.md
273,rationalize_numerator,math,algebra,Removes radicals from numerator,math/algebra/rationalize_numerator.md
274,advanced_algebra_200,math,algebra,Advanced algebra operation 200,math/algebra/advanced_algebra_200.md
275,advanced_algebra_191,math,algebra,Advanced algebra operation 191,math/algebra/advanced_algebra_191.md
276,advanced_algebra_133,math,algebra,Advanced algebra operation 133,math/algebra/advanced_algebra_133.md
277,advanced_algebra_162,math,algebra,Advanced algebra operation 162,math/algebra/advanced_algebra_162.md
278,advanced_algebra_99,math,algebra,Advanced algebra operation 99,math/algebra/advanced_algebra_99.md
279,advanced_algebra_0,math,algebra,Advanced algebra operation 0,math/algebra/advanced_algebra_0.md
280,ceiling_function,math,algebra,Evaluates ceiling function,math/algebra/ceiling_function.md
281,linear_function,math,algebra,Evaluates linear function,math/algebra/linear_function.md
282,intersection_intervals,math,algebra,Finds intersection of intervals,math/algebra/intersection_intervals.md
283,advanced_algebra_142,math,algebra,Advanced algebra operation 142,math/algebra/advanced_algebra_142.md
284,advanced_algebra_113,math,algebra,Advanced algebra operation 113,math/algebra/advanced_algebra_113.md
285,greatest_integer_function,math,algebra,Evaluates greatest integer function,math/algebra/greatest_integer_function.md
286,advanced_algebra_220,math,algebra,Advanced algebra operation 220,math/algebra/advanced_algebra_220.md
287,advanced_algebra_127,math,algebra,Advanced algebra operation 127,math/algebra/advanced_algebra_127.md
288,advanced_algebra_176,math,algebra,Advanced algebra operation 176,math/algebra/advanced_algebra_176.md
289,sign_function,math,algebra,Evaluates sign function,math/algebra/sign_function.md
290,advanced_algebra_214,math,algebra,Advanced algebra operation 214,math/algebra/advanced_algebra_214.md
291,advanced_algebra_185,math,algebra,Advanced algebra operation 185,math/algebra/advanced_algebra_185.md
292,advanced_algebra_245,math,algebra,Advanced algebra operation 245,math/algebra/advanced_algebra_245.md
293,common_denominator,math,algebra,Finds common denominator for fractions,math/algebra/common_denominator.md
294,advanced_algebra_195,math,algebra,Advanced algebra operation 195,math/algebra/advanced_algebra_195.md
295,advanced_algebra_204,math,algebra,Advanced algebra operation 204,math/algebra/advanced_algebra_204.md
296,inverse_function,math,algebra,Finds inverse of function,math/algebra/inverse_function.md
297,advanced_algebra_166,math,algebra,Advanced algebra operation 166,math/algebra/advanced_algebra_166.md
298,advanced_algebra_137,math,algebra,Advanced algebra operation 137,math/algebra/advanced_algebra_137.md
299,advanced_algebra_230,math,algebra,Advanced algebra operation 230,math/algebra/advanced_algebra_230.md
